study,technique,analysis_level,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,celltype,n_selected_genes,padj_celltype_BH,padj_global_BH
GSE250136,pseudobulk_deseq2,celltype_barcode,Psme1,75.92047015070742,0.001043380729222562,0.0795049872323844,0.18391111695049744,0.6680334121064414,0.7789310691606612,neuromesodermal.progenitors,9405,0.7789310691606612,0.8330013156696875
GSE250136,pseudobulk_deseq2,celltype_barcode,Psme2,84.43233190505873,0.16145045100253047,0.10715987075023979,4.97380390078078,0.025733991814983648,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Ipo4,31.269752576478336,-0.189215421826539,0.12287512678474564,2.4001369949007483,0.1213246252249328,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Tm9sf1,19.913744620175926,-0.09948639661485251,0.15408603473342905,0.4578473119603359,0.4986317569146908,0.7278897456558936,neuromesodermal.progenitors,9405,0.7278897456558936,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Mdp1,50.03025009714305,0.005610029711812725,0.10082135619233015,0.0348653237332428,0.8518781472910156,0.8770568117429668,neuromesodermal.progenitors,9405,0.8770568117429668,0.8910297441852891
GSE250136,pseudobulk_deseq2,celltype_barcode,Nedd8,514.1301920154567,-3.560986192839428e-4,0.04011204736772764,0.0015580807459798507,0.9685136531011302,0.9694413481711504,neuromesodermal.progenitors,9405,0.9694413481711504,0.970834957154414
GSE250136,pseudobulk_deseq2,celltype_barcode,Gmpr2,25.857524013779148,0.1276377111481671,0.1357463329372465,1.0062520654547598,0.315802405440259,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Tinf2,16.83470893593515,-0.16091886128358768,0.1633104367714366,1.3405092466822026,0.2469441815097414,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Rabggta,10.507467910252384,-0.08076588334957864,0.22508811056836037,0.7272863349789702,0.3937642095992802,0.7066448057243366,neuromesodermal.progenitors,9405,0.7066448057243366,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Dhrs1,22.50325450118076,-0.00733358011727275,0.14359597291828444,0.6988966097738398,0.40315469788845376,0.7101400323941707,neuromesodermal.progenitors,9405,0.7101400323941707,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Nop9,38.15926720559622,-0.14799429754106702,0.1266580765942727,1.964468646230955,0.1610362100382769,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Nfatc4,5.858289719503801,0.07120527885952513,0.28787043036802606,0.2666771496153899,0.6055695287577938,0.7568118901537497,neuromesodermal.progenitors,9405,0.7568118901537497,0.8275985718273843
GSE250136,pseudobulk_deseq2,celltype_barcode,Nynrin,25.79368332125289,0.039087906116857626,0.13459589431271582,0.08465026992246294,0.7710917059150358,0.8277727992387754,neuromesodermal.progenitors,9405,0.8277727992387754,0.8574445283074053
GSE250136,pseudobulk_deseq2,celltype_barcode,Khnyn,7.135545427877062,-0.17875654109961145,0.2551393753868771,0.5053884765737706,0.4771419926523909,0.7234030041086215,neuromesodermal.progenitors,9405,0.7234030041086215,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Cenpj,15.556245378155072,-0.03993204181174939,0.1820581097082153,1.196256134535048,0.27407124238964575,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
