study,technique,analysis_level,gene,neural__log2FoldChange,neuromesodermal.progenitors__log2FoldChange,pluripotent__log2FoldChange,somitic__log2FoldChange,unknown__log2FoldChange,neural__pvalue,neuromesodermal.progenitors__pvalue,pluripotent__pvalue,somitic__pvalue,unknown__pvalue,neural__padj_celltype_BH,neuromesodermal.progenitors__padj_celltype_BH,pluripotent__padj_celltype_BH,somitic__padj_celltype_BH,unknown__padj_celltype_BH,neural__pct_TLS,neuromesodermal.progenitors__pct_TLS,pluripotent__pct_TLS,somitic__pct_TLS,unknown__pct_TLS,neural__pct_neural_bias,neuromesodermal.progenitors__pct_neural_bias,pluripotent__pct_neural_bias,somitic__pct_neural_bias,unknown__pct_neural_bias,neural__detection_freq,neuromesodermal.progenitors__detection_freq,pluripotent__detection_freq,somitic__detection_freq,unknown__detection_freq
GSE250136,mast,celltype_single_cell,Ndufs5,0.3516941807266285,0.0869394773450205,-0.20974002164894356,0.029914553815934664,-0.5256399306769532,0.0022270811682432623,0.7358590767306192,0.4172200389687133,0.22391166538844956,0.16802833183965937,0.008941434598068107,0.9832753433879675,0.9206871144167472,0.9837481328310289,0.995500824812625,0.9169139465875371,0.9175729822552948,0.974169741697417,0.9244887257472469,0.6474820143884892,0.9209968186638389,0.9147727272727273,0.9485981308411215,0.9082058414464534,0.6524064171122995,0.918973124749298,0.9167686658506732,0.9628865979381444,0.92003046458492,0.6503067484662577
GSE250136,mast,celltype_single_cell,Ndufs6,0.45415123787187284,0.09424291718019351,0.2204466244341683,0.32321659406627123,-0.01613849476491591,0.008249926682600257,0.7108531693170976,0.7160089876765217,0.16446429225692458,0.9170296519145341,0.014804052370730576,0.9832753433879675,0.9964021960522161,0.9837481328310289,0.9967258111793633,0.9705961694092258,0.9759587864911277,0.996309963099631,0.9402202412165706,0.7553956834532374,0.9663308589607635,0.9701704545454546,0.9953271028037384,0.9513212795549374,0.7486631016042781,0.9684449792753042,0.9742962056303549,0.9958762886597938,0.9432597105864433,0.7515337423312883
GSE250136,mast,celltype_single_cell,Ndufs7,0.1948256423893473,-0.061417521917819684,-0.39705942502266534,0.03405574004328171,-0.04651756545263286,0.009645130809854316,0.6404598970042045,0.0671837291453676,0.8162255842134373,0.7515445730860754,0.016182596682938283,0.9832753433879675,0.6063201478430317,0.9986810248541517,0.995500824812625,0.8510925276503911,0.8070978820835718,0.959409594095941,0.8358678552700577,0.5827338129496403,0.8451749734888653,0.8110795454545454,0.9065420560747663,0.8331015299026425,0.5668449197860963,0.8481080358336676,0.8082415340677275,0.9360824742268041,0.8351104341203351,0.5736196319018405
GSE250136,mast,celltype_single_cell,Ndufv2,0.18380660930836923,0.13763993931160012,-0.06632970636457092,0.009973175730493722,-0.010469820111275396,0.09939775410539131,0.33842420946820034,0.7964593745860241,0.2962290450385849,0.9895824665255004,0.10717889142172245,0.9568423640428352,0.9980931199189546,0.9837481328310289,0.9967258111793633,0.8939843539250067,0.8872352604464797,0.955719557195572,0.8689040377556371,0.5611510791366906,0.8931601272534464,0.8792613636363636,0.9579439252336449,0.847009735744089,0.5882352941176471,0.8935686589116192,0.8849449204406364,0.9567010309278351,0.8629093678598629,0.5766871165644172
GSE250136,mast,celltype_single_cell,Ndufv3,0.3192229320247142,0.3880792158351545,-0.25539437479755644,0.17719023971629078,-0.41075899038335084,0.011036037189714956,0.010922904040609666,0.469650744777821,0.25426458212332226,0.3606676125679657,0.017951953828602995,0.9568423640428352,0.9355206543413022,0.9837481328310289,0.995500824812625,0.892096034529269,0.8563251287922152,0.9630996309963099,0.8940744625065548,0.5755395683453237,0.8981972428419936,0.8778409090909091,0.9579439252336449,0.8887343532684284,0.5775401069518716,0.895173151490841,0.8625050999592003,0.9608247422680413,0.8926123381568926,0.5766871165644172
GSE250136,mast,celltype_single_cell,Nedd4,1.3001184212582366,0.2649999266119192,-12.14635758517085,0.8506577220120999,-1.0338986023162455,0.013644035508925388,0.7841226907239038,0.493359138092629,0.2294338801235418,0.3682311605858751,0.02051409564194064,0.9887434107939682,0.9355206543413022,0.9837481328310289,0.995500824812625,0.9967628810358781,0.9977103606182026,1,0.9968536969061353,0.9136690647482014,0.9973488865323435,0.9985795454545454,0.9953271028037384,0.9986091794158554,0.946524064171123,0.9970584302714267,0.9979600163198694,0.9979381443298969,0.9973343488194973,0.9325153374233128
GSE250136,mast,celltype_single_cell,Nedd8,0.6128525411185155,0.12512119069725447,-0.1484037158511713,-0.162792977836145,-0.23955959439014674,0.006071901873130053,0.7164452310103485,0.8541697620046713,0.7582056446774763,0.014705065134332403,0.012905367310150658,0.9832753433879675,0.9989153187003222,0.9913457141686123,0.6547036535613597,0.9886700836255733,0.9891242129364625,0.985239852398524,0.9900367068694285,0.7985611510791367,0.9875397667020148,0.9914772727272727,0.985981308411215,0.9916550764951322,0.9090909090909091,0.9881000133707715,0.9898000815993472,0.9855670103092784,0.9904798172124905,0.8619631901840491
GSE250136,mast,celltype_single_cell,Nhp2,0.7102013697591465,0.13418465854783612,0.25799392286902734,0.12053174764814578,-0.2787881816846278,8.706500867806776e-4,0.8037125630972167,0.4782761852550416,0.7822244475601368,0.6186935010413714,0.007156386446969428,0.9901382823531624,0.9355206543413022,0.9970442958453086,0.995500824812625,0.9776099271648233,0.9656554092730395,0.981549815498155,0.9281594126900892,0.7697841726618705,0.9801166489925769,0.9630681818181818,0.9906542056074766,0.9346314325452016,0.8128342245989305,0.978874181040246,0.9649122807017544,0.9855670103092784,0.9299314546839299,0.7944785276073619
GSE250136,mast,celltype_single_cell,Nktr,0.0941034676584489,0.19575544289384528,0.2493081735712832,-0.0935572647540801,-0.6154057959729893,0.39589213032216086,0.1505556569720608,0.040902994725362234,0.08825590582225112,0.25745890957389317,0.40393295017338754,0.9568423640428352,0.522621900946991,0.9837481328310289,0.995500824812625,0.8429997302400863,0.8431597023468803,0.7970479704797048,0.897745149449397,0.26618705035971224,0.8478260869565217,0.8636363636363636,0.8738317757009346,0.8706536856745479,0.24064171122994651,0.8454338815349646,0.8490412076703386,0.8309278350515464,0.8903274942878904,0.25153374233128833
GSE250136,mast,celltype_single_cell,Nme1,0.8459109326644247,0.09224243557484613,-0.24465953045507405,-0.12250749477979639,-0.2444291849548632,0.002072394891598109,0.7760687328059315,0.8042184565913373,0.8253281512150712,0.8578820646945099,0.008849126187123925,0.9862540146075378,0.9980931199189546,0.9986810248541517,0.995500824812625,0.9894793633666037,0.9891242129364625,0.981549815498155,0.9805977975878343,0.841726618705036,0.9883351007423118,0.9914772727272727,0.9813084112149533,0.9847009735744089,0.8449197860962567,0.9889022596603824,0.9898000815993472,0.9814432989690721,0.9817212490479817,0.843558282208589
GSE250136,mast,celltype_single_cell,Nme2,2.139831766309051,-0.5184465274137935,-0.09106124808548444,-0.007435343139952977,-1.3179201046321296,0.0018881058901871256,0.9565653105973627,0.9955598691969366,0.8291853293704393,0.5036857004398311,0.008805184605743067,0.999854330950744,1,0.9986810248541517,0.995500824812625,0.9997302400863232,1,1,0.9994756161510225,0.9784172661870504,0.9997348886532343,1,1,1,0.9786096256684492,0.9997325845701297,1,1,0.9996191926884996,0.9785276073619632
GSE250136,mast,celltype_single_cell,Nol7,0.5061327066071151,-0.06726652295116864,-0.15985852181603555,0.13954981946053202,0.0376631631750346,3.997892467554117e-4,0.402522094907122,0.5223705386588194,0.4937755537331617,0.0660464233745687,0.006933194569982071,0.9568423640428352,0.9355206543413022,0.9837481328310289,0.9589069094561428,0.9603452926895063,0.9582140812821981,0.9520295202952029,0.9171473518615627,0.7122302158273381,0.9636797454931071,0.9446022727272727,0.9626168224299065,0.9290681502086231,0.8235294117647058,0.9620270089584169,0.9543043655650755,0.9567010309278351,0.9204112718964204,0.7760736196319018
GSE250136,mast,celltype_single_cell,Nolc1,0.4183941879975652,-0.09878727602240289,-0.31214173665000144,-0.10658329899311747,-0.12182277831317112,0.002267281019437286,0.666289602505225,0.5301915927790843,0.25432540196659675,0.42028942058756263,0.008973962682423196,0.9832753433879675,0.9355206543413022,0.9837481328310289,0.995500824812625,0.9263555435662261,0.9061247853463079,0.959409594095941,0.8657577346617724,0.5611510791366906,0.9371686108165429,0.8934659090909091,0.9392523364485982,0.8442280945757997,0.6363636363636364,0.9318090653830726,0.9024887800897593,0.9505154639175257,0.8598629093678599,0.6042944785276073
