study,technique,analysis_level,gene,component,contrast,pvalue,ci.hi,ci.lo,coef,z,logFC,log2FoldChange,celltype,n_selected_genes,padj_celltype_BH,pct_TLS,pct_neural_bias,detection_freq,padj_global_BH
GSE250136,mast,celltype_single_cell,Borcs8,H,Morphotypeneural_bias,0.722928273115102,NA,NA,NA,NA,0.024761992453874615,0.024761992453874615,neuromesodermal.progenitors,9728,0.9684581649784303,0.34630795649685175,0.3622159090909091,0.3508771929824561,0.9511701869258278
GSE250136,mast,celltype_single_cell,Bpgm,H,Morphotypeneural_bias,0.7573823636737735,NA,NA,NA,NA,-0.009381747162807375,-0.009381747162807375,neuromesodermal.progenitors,9728,0.9713011183260447,0.27361190612478536,0.2727272727272727,0.2733578131374949,0.9583059590418761
GSE250136,mast,celltype_single_cell,Bphl,H,Morphotypeneural_bias,0.029892169271878467,NA,NA,NA,NA,0.04894722454804612,0.04894722454804612,neuromesodermal.progenitors,9728,0.6075642538523639,0.1511161991986262,0.19460227272727273,0.16360669114647083,0.47003752478986716
GSE250136,mast,celltype_single_cell,Bpnt1,H,Morphotypeneural_bias,0.9387451823819852,NA,NA,NA,NA,-0.004457690243251211,-0.004457690243251211,neuromesodermal.progenitors,9728,0.9923042446087168,0.11562678878076703,0.11221590909090909,0.11464708282333741,0.9928593664874655
GSE250136,mast,celltype_single_cell,Bptf,H,Morphotypeneural_bias,0.1851676590844335,NA,NA,NA,NA,0.005378414267052989,0.005378414267052989,neuromesodermal.progenitors,9728,0.8433391537776005,0.8391528334287349,0.8622159090909091,0.8457772337821298,0.7614013962576065
GSE250136,mast,celltype_single_cell,Braf,H,Morphotypeneural_bias,0.4341275153493094,NA,NA,NA,NA,-0.02691978211604451,-0.02691978211604451,neuromesodermal.progenitors,9728,0.9078781321916382,0.37893531768746425,0.3536931818181818,0.37168502651978785,0.8720179010521377
GSE250136,mast,celltype_single_cell,Brap,H,Morphotypeneural_bias,0.6967626821719213,NA,NA,NA,NA,0.0067300945626939945,0.0067300945626939945,neuromesodermal.progenitors,9728,0.9670198482510352,0.1247853463079565,0.1278409090909091,0.12566299469604242,0.945809254565685
GSE250136,mast,celltype_single_cell,Brca1,H,Morphotypeneural_bias,0.8948864205073288,NA,NA,NA,NA,-0.017386471013000893,-0.017386471013000893,neuromesodermal.progenitors,9728,0.9909586096490317,0.3674871207784774,0.35795454545454547,0.36474908200734396,0.9866051317241149
GSE250136,mast,celltype_single_cell,Brca2,H,Morphotypeneural_bias,0.27236764084637805,NA,NA,NA,NA,0.04731405094127106,0.04731405094127106,neuromesodermal.progenitors,9728,0.8731011559615692,0.4642243846594161,0.4659090909090909,0.46470828233374134,0.8108062388484552
GSE250136,mast,celltype_single_cell,Brcc3,H,Morphotypeneural_bias,0.3877445025056989,NA,NA,NA,NA,0.05503472722495184,0.05503472722495184,neuromesodermal.progenitors,9728,0.8928151418678472,0.48025186033199774,0.5,0.48592411260709917,0.857241563513772
