study,technique,analysis_level,gene,component,contrast,pvalue,ci.hi,ci.lo,coef,z,logFC,log2FoldChange,padj_BH,pct_TLS,pct_neural_bias,detection_freq
GSE250136,mast,sample_single_cell,Bnip3l,H,Morphotypeneural_bias,0.40498086664694966,NA,NA,NA,NA,0.20404696939605182,0.20404696939605182,0.4285671129076766,0.9454381675460044,0.9433523945675483,0.9445649734420588
GSE250136,mast,sample_single_cell,Bola2,H,Morphotypeneural_bias,3.077534470719005e-5,NA,NA,NA,NA,0.4116151295467829,0.4116151295467829,0.00487584859749341,0.9848153390811993,0.9844531808434596,0.9846637240966559
GSE250136,mast,sample_single_cell,Bptf,H,Morphotypeneural_bias,0.15381253406331608,NA,NA,NA,NA,0.17158790865156393,0.17158790865156393,0.19547009537213084,0.8590914940162141,0.8543602573266619,0.857110795242014
GSE250136,mast,sample_single_cell,Brd3,H,Morphotypeneural_bias,0.08477238513831782,NA,NA,NA,NA,0.1808698417910648,0.1808698417910648,0.12836102288674364,0.9516149787672115,0.9508577555396712,0.9512979726191367
GSE250136,mast,sample_single_cell,Bri3,H,Morphotypeneural_bias,4.579037167502563e-4,NA,NA,NA,NA,0.3673965825481358,0.3673965825481358,0.013034992470157295,0.9819843006048128,0.9801644031451037,0.9812224134061495
GSE250136,mast,sample_single_cell,Brk1,H,Morphotypeneural_bias,0.06735644821935992,NA,NA,NA,NA,0.1577108947036301,0.1577108947036301,0.11413175948280431,0.9343713807746751,0.943709792709078,0.9382808408767861
GSE250136,mast,sample_single_cell,Bsg,H,Morphotypeneural_bias,0.03939298393844311,NA,NA,NA,NA,0.19471490451067996,0.19471490451067996,0.08692922037062123,0.846995238708017,0.8482844889206577,0.8475349741901699
GSE250136,mast,sample_single_cell,Btf3,H,Morphotypeneural_bias,0.080639504032547,NA,NA,NA,NA,1.3419997027735082,1.3419997027735082,0.1252111571705366,0.8800669154548965,0.8834882058613295,0.8814992144834294
GSE250136,mast,sample_single_cell,Bzw1,H,Morphotypeneural_bias,0.13025539651215742,NA,NA,NA,NA,0.4603301198993641,0.4603301198993641,0.17219521458418333,0.999485265731566,0.9998213009292352,0.9996259444901623
GSE250136,mast,sample_single_cell,Bzw2,H,Morphotypeneural_bias,0.1350968265010658,NA,NA,NA,NA,0.31335614260436895,0.31335614260436895,0.17668099514840765,0.8942221078368292,0.9122587562544675,0.9017730231166305
GSE250136,mast,sample_single_cell,C1qbp,H,Morphotypeneural_bias,0.03016226472096895,NA,NA,NA,NA,0.4111687719693826,0.4111687719693826,0.07755058633182339,0.9599794106292626,0.9533595425303788,0.9572080496745717
GSE250136,mast,sample_single_cell,Cacybp,H,Morphotypeneural_bias,0.10731540496189235,NA,NA,NA,NA,0.31896871264001536,0.31896871264001536,0.14999567240172842,0.9446660661433535,0.9435310936383131,0.9441909179322211
GSE250136,mast,sample_single_cell,Calm1,H,Morphotypeneural_bias,0.040436134195938014,NA,NA,NA,NA,0.8091383636624325,0.8091383636624325,0.08719155790611198,0.9818556170377043,0.9789135096497498,0.9806239245904093
GSE250136,mast,sample_single_cell,Calm2,H,Morphotypeneural_bias,0.11815694259247546,NA,NA,NA,NA,0.7662437612382789,0.7662437612382789,0.1609783041840417,0.9440226483078111,0.9395997140814868,0.9421710181790978
GSE250136,mast,sample_single_cell,Calm3,H,Morphotypeneural_bias,0.022044888386823322,NA,NA,NA,NA,0.22405586131558364,0.22405586131558364,0.06992013272648806,0.8404323767854845,0.8330950679056469,0.8373606643225855
GSE250136,mast,sample_single_cell,Calr,H,Morphotypeneural_bias,0.5312291056876388,NA,NA,NA,NA,0.1738082009017834,0.1738082009017834,0.5512389504948282,0.8671985587440484,0.8666904932094354,0.8669858607017281
GSE250136,mast,sample_single_cell,Canx,H,Morphotypeneural_bias,0.08440875251120006,NA,NA,NA,NA,0.22671304233813405,0.22671304233813405,0.12826525737467057,0.8293655900141552,0.831844174410293,0.830403231839605
GSE250136,mast,sample_single_cell,Caprin1,H,Morphotypeneural_bias,2.50026512358297e-4,NA,NA,NA,NA,0.29953226880315587,0.29953226880315587,0.009705574616090257,0.8348989833998198,0.8330950679056469,0.8341437869379816
GSE250136,mast,sample_single_cell,Capzb,H,Morphotypeneural_bias,0.43071676079576726,NA,NA,NA,NA,0.09920471384251561,0.09920471384251561,0.45355377770602373,0.9985844807618067,0.9982130092923517,0.9984289668586819
GSE250136,mast,sample_single_cell,Cbx1,H,Morphotypeneural_bias,0.11764291052011966,NA,NA,NA,NA,0.42138486590839364,0.42138486590839364,0.16074727293469152,0.9764509072191481,0.977662616154396,0.9769581805940002
GSE250136,mast,sample_single_cell,Cbx3,H,Morphotypeneural_bias,0.030465406465988443,NA,NA,NA,NA,0.6368508654392784,0.6368508654392784,0.07755058633182339,0.9788958949942093,0.9756969263759828,0.9775566694097404
GSE250136,mast,sample_single_cell,Cbx5,H,Morphotypeneural_bias,0.03645145043571323,NA,NA,NA,NA,0.4239022525945977,0.4239022525945977,0.0834730317186569,0.892549221464419,0.8986776268763402,0.8951148350415201
