study,technique,analysis_level,gene,component,contrast,pvalue,ci.hi,ci.lo,coef,z,logFC,log2FoldChange,padj_BH,pct_TLS,pct_neural_bias,detection_freq
GSE250136,mast,sample_single_cell,Eno1,H,Morphotypeneural_bias,0.3684198255029226,NA,NA,NA,NA,0.41948535325840197,0.41948535325840197,0.3957616741880452,0.9216317076309355,0.9235167977126519,0.9224208872596693
GSE250136,mast,sample_single_cell,Eny2,H,Morphotypeneural_bias,0.20217533700660664,NA,NA,NA,NA,0.15558892176560768,0.15558892176560768,0.23979690740721163,0.8610217475228413,0.8629378127233739,0.8618238946659684
GSE250136,mast,sample_single_cell,Eprs,H,Morphotypeneural_bias,0.35208952902800295,NA,NA,NA,NA,0.1906670326395643,0.1906670326395643,0.3786957906673986,0.8701582807875434,0.8670478913509649,0.8688561382509165
GSE250136,mast,sample_single_cell,Erh,H,Morphotypeneural_bias,0.07053296845314107,NA,NA,NA,NA,0.16842649578657598,0.16842649578657598,0.11670886298320018,1,1,1
GSE250136,mast,sample_single_cell,Esd,H,Morphotypeneural_bias,0.004555558799180504,NA,NA,NA,NA,0.29857264213000567,0.29857264213000567,0.04290216747062152,0.8575472912109123,0.8647248034310222,0.8605521059325204
GSE250136,mast,sample_single_cell,Etfb,H,Morphotypeneural_bias,0.018772513192279683,NA,NA,NA,NA,0.20277105059364775,0.20277105059364775,0.067828541548252,0.944794749710462,0.9481772694781987,0.9462108176853445
GSE250136,mast,sample_single_cell,Ewsr1,H,Morphotypeneural_bias,0.004742688928841788,NA,NA,NA,NA,0.42494113317903315,0.42494113317903315,0.04290216747062152,0.8578046583451293,0.8554324517512509,0.8568115508341438
GSE250136,mast,sample_single_cell,Exosc8,H,Morphotypeneural_bias,0.006280950535933177,NA,NA,NA,NA,0.2444965899181719,0.2444965899181719,0.0475647481902808,0.8348989833998198,0.8341672623302359,0.8345926535497867
GSE250136,mast,sample_single_cell,Ezh2,H,Morphotypeneural_bias,0.01147793304837185,NA,NA,NA,NA,0.46088933811446253,0.46088933811446253,0.056601416340753496,0.9078625659503281,0.9077912794853467,0.9078327223760005
GSE250136,mast,sample_single_cell,Fabp5,H,Morphotypeneural_bias,0.021648126706141853,NA,NA,NA,NA,0.8629304750886391,0.8629304750886391,0.0695648755847698,0.8487968086475357,0.8489992852037169,0.8488815740255854
GSE250136,mast,sample_single_cell,Fam104a,H,Morphotypeneural_bias,0.10840277095450844,NA,NA,NA,NA,0.1300115718046615,0.1300115718046615,0.15126256226858176,0.9879037446918029,0.9880271622587563,0.9879554125832274
GSE250136,mast,sample_single_cell,Fau,H,Morphotypeneural_bias,NA,NA,NA,NA,NA,NA,NA,NA,0.9862308583193926,0.9828448892065761,0.984813346300591
GSE250136,mast,sample_single_cell,Fbl,H,Morphotypeneural_bias,0.10030386344443439,NA,NA,NA,NA,0.2921356249740632,0.2921356249740632,0.14420791141674574,1,1,1
GSE250136,mast,sample_single_cell,Fdps,H,Morphotypeneural_bias,0.7837455793786122,NA,NA,NA,NA,0.12118984984605063,0.12118984984605063,0.7939723900229358,0.971046197400592,0.9676554681915654,0.9696266926011821
GSE250136,mast,sample_single_cell,Fkbp1a,H,Morphotypeneural_bias,0.1715058263280461,NA,NA,NA,NA,0.2583752261328005,0.2583752261328005,0.21043962023584967,0.9841719212456569,0.9842744817726948,0.9842148574848507
GSE250136,mast,sample_single_cell,Fkbp3,H,Morphotypeneural_bias,0.023666787257773103,NA,NA,NA,NA,0.7199738952747605,0.7199738952747605,0.07001605895110906,0.8810963839917643,0.8836669049320943,0.8821725144011371
GSE250136,mast,sample_single_cell,Fkbp4,H,Morphotypeneural_bias,0.09210546361546433,NA,NA,NA,NA,0.44358306928835844,0.44358306928835844,0.1354560603827776,0.8810963839917643,0.8870621872766261,0.8835939253385202
GSE250136,mast,sample_single_cell,Fscn1,H,Morphotypeneural_bias,0.4073673443197417,NA,NA,NA,NA,0.13411639726990643,0.13411639726990643,0.4305590495656676,1,1,1
GSE250136,mast,sample_single_cell,Fth1,H,Morphotypeneural_bias,0.07314371685900906,NA,NA,NA,NA,0.9445121901921159,0.9445121901921159,0.11875424752394247,0.9947239737485523,0.9932094353109364,0.994089922944565
GSE250136,mast,sample_single_cell,Ftl1,H,Morphotypeneural_bias,0.2355505849778418,NA,NA,NA,NA,1.5003850762396809,1.5003850762396809,0.27003293542063017,1,1,1
GSE250136,mast,sample_single_cell,Fubp1,H,Morphotypeneural_bias,0.020099574153131076,NA,NA,NA,NA,0.5352007981431273,0.5352007981431273,0.06842930510367344,0.9189293527216574,0.9226233023588277,0.9204757986085135
GSE250136,mast,sample_single_cell,Fus,H,Morphotypeneural_bias,0.019455979307284103,NA,NA,NA,NA,0.7015521438715773,0.7015521438715773,0.06837615773012602,0.7991249517436624,0.8087919942816297,0.8031719907234234
GSE250136,mast,sample_single_cell,Fxr1,H,Morphotypeneural_bias,0.0835922597866851,NA,NA,NA,NA,0.1740011927389582,0.1740011927389582,0.1277062430372613,0.8122506755887273,0.813795568263045,0.8128974339792026
GSE250136,mast,sample_single_cell,G3bp1,H,Morphotypeneural_bias,2.3921524290526722e-4,NA,NA,NA,NA,0.6580987445172424,0.6580987445172424,0.009705574616090257,0.9108222879938231,0.9060042887776983,0.9088052667015785
GSE250136,mast,sample_single_cell,G3bp2,H,Morphotypeneural_bias,0.06176344094619099,NA,NA,NA,NA,0.2924975556461811,0.2924975556461811,0.10720727351229087,0.8334834641616266,0.8309506790564689,0.8324231315927284
GSE250136,mast,sample_single_cell,Gabarap,H,Morphotypeneural_bias,1.1242281475470476e-4,NA,NA,NA,NA,0.377467212257244,0.377467212257244,0.007385314138501374,0.8064599150688457,0.8195139385275196,0.8119248896536246
GSE250136,mast,sample_single_cell,Gapdh,H,Morphotypeneural_bias,0.004927813835234449,NA,NA,NA,NA,6.072272029286658,6.072272029286658,0.04290216747062152,0.8468665551409085,0.8464974982130093,0.846712052068527
GSE250136,mast,sample_single_cell,Gars,H,Morphotypeneural_bias,0.19752597277973827,NA,NA,NA,NA,0.16241958235663523,0.16241958235663523,0.23496276809094038,0.9993565821644576,0.998927805575411,0.9991770778783572
GSE250136,mast,sample_single_cell,Gas1,H,Morphotypeneural_bias,0.28129617391772294,NA,NA,NA,NA,0.2996885364461126,0.2996885364461126,0.31117478306442403,0.9817269334705958,0.9808791994281629,0.9813720356100846
GSE250136,mast,sample_single_cell,Gas5,H,Morphotypeneural_bias,0.002132176214396306,NA,NA,NA,NA,1.6418775357846904,1.6418775357846904,0.03251568726954367,0.9987131643289152,0.9985704074338814,0.9986534001645844
GSE250136,mast,sample_single_cell,Gdi2,H,Morphotypeneural_bias,0.050910014977602745,NA,NA,NA,NA,0.25585719923135697,0.25585719923135697,0.09704721605105524,0.8385021232788573,0.8282701929949964,0.8342185980399491
GSE250136,mast,sample_single_cell,Gjc1,H,Morphotypeneural_bias,0.0063117613082135605,NA,NA,NA,NA,0.20834780108853002,0.20834780108853002,0.0475647481902808,0.823703513061382,0.8261258041458185,0.8247175880900726
GSE250136,mast,sample_single_cell,Glo1,H,Morphotypeneural_bias,0.007864112401592,NA,NA,NA,NA,0.3909401913552464,0.3909401913552464,0.052468374929371626,0.9000128683567108,0.9026090064331665,0.9010997231989227
GSE250136,mast,sample_single_cell,Glrx3,H,Morphotypeneural_bias,0.02109897474769078,NA,NA,NA,NA,0.3043917741301865,0.3043917741301865,0.06877299402491575,0.928194569553468,0.9278055754110078,0.9280317199072342
GSE250136,mast,sample_single_cell,Gm10076,H,Morphotypeneural_bias,0.02462931388589296,NA,NA,NA,NA,0.6855752426018036,0.6855752426018036,0.07139429943990573,0.8741474713679063,0.8809864188706219,0.8770105483653774
GSE250136,mast,sample_single_cell,Gm1673,H,Morphotypeneural_bias,0.0011119994461294793,NA,NA,NA,NA,0.3088656953781821,0.3088656953781821,0.021103278377657228,0.9402908248616652,0.942458899213724,0.9411984738535198
GSE250136,mast,sample_single_cell,Gm42418,H,Morphotypeneural_bias,0.032624034761503065,NA,NA,NA,NA,1.1517526702871743,1.1517526702871743,0.08014552708615655,0.8228027280916227,0.8227305218012866,0.8227724994389167
GSE250136,mast,sample_single_cell,Gm47283,H,Morphotypeneural_bias,0.0028334895462468735,NA,NA,NA,NA,0.54368498584821,0.54368498584821,0.03763008213262555,0.9998713164328915,1,0.9999251888980325
GSE250136,mast,sample_single_cell,Gmnn,H,Morphotypeneural_bias,0.0028641163215698605,NA,NA,NA,NA,0.3830655599809871,0.3830655599809871,0.03763008213262555,0.863080684596577,0.8565046461758399,0.8603276726266178
GSE250136,mast,sample_single_cell,Gmps,H,Morphotypeneural_bias,1.742970254995847e-5,NA,NA,NA,NA,0.4378597421475128,0.4378597421475128,0.004583203132438806,0.8973105134474327,0.8834882058613295,0.8915239021470787
GSE250136,mast,sample_single_cell,Gnai2,H,Morphotypeneural_bias,0.0047705214775054525,NA,NA,NA,NA,0.7966107460832736,0.7966107460832736,0.04290216747062152,0.8980826148500837,0.9122587562544675,0.9040173561756565
GSE250136,mast,sample_single_cell,Gnas,H,Morphotypeneural_bias,0.11396210292049973,NA,NA,NA,NA,0.6907610976900553,0.6907610976900553,0.15672083074735388,0.996268176553854,0.9962473195139385,0.9962594449016234
GSE250136,mast,sample_single_cell,Gnb1,H,Morphotypeneural_bias,0.03193803850913873,NA,NA,NA,NA,0.5421214565643391,0.5421214565643391,0.07928803746164093,0.9956247587183117,0.9955325232308792,0.9955861449839156
GSE250136,mast,sample_single_cell,Gnb2,H,Morphotypeneural_bias,0.011461767076599903,NA,NA,NA,NA,0.30047451952729887,0.30047451952729887,0.056601416340753496,1,1,1
GSE250136,mast,sample_single_cell,Gng5,H,Morphotypeneural_bias,0.2940767238548134,NA,NA,NA,NA,0.578272233415074,0.578272233415074,0.32280401307456386,0.9155835799768369,0.9056468906361687,0.9114236552704421
GSE250136,mast,sample_single_cell,Gnl3,H,Morphotypeneural_bias,0.07825829981262199,NA,NA,NA,NA,0.14311299066534433,0.14311299066534433,0.12287002585472472,0.9548320679449235,0.9537169406719085,0.9543652277998055
GSE250136,mast,sample_single_cell,Gpc3,H,Morphotypeneural_bias,0.24579051155928788,NA,NA,NA,NA,-0.0013672459472839904,-0.0013672459472839904,0.27838872264142156,0.9990992150302407,0.9998213009292352,0.9994015111842598
GSE250136,mast,sample_single_cell,Gpi1,H,Morphotypeneural_bias,0.05234418966965373,NA,NA,NA,NA,0.49876377288397444,0.49876377288397444,0.09793306374762223,0.8006691545489641,0.818084345961401,0.8079599012493454
GSE250136,mast,sample_single_cell,Gpx1,H,Morphotypeneural_bias,0.28232823531642687,NA,NA,NA,NA,0.2174890276137309,0.2174890276137309,0.3115742196313521,0.997040277956505,0.9969621157969979,0.9970075559212987
GSE250136,mast,sample_single_cell,Gpx4,H,Morphotypeneural_bias,0.13935499976739074,NA,NA,NA,NA,0.6768259430726369,0.6768259430726369,0.18177032857786912,0.9942092394801184,0.9933881343817013,0.9938654896386624
GSE250136,mast,sample_single_cell,Grb10,H,Morphotypeneural_bias,0.08676112164765015,NA,NA,NA,NA,0.4816495748861369,0.4816495748861369,0.1306772449507817,0.8243469308969245,0.8152251608291637,0.8205281663798908
GSE250136,mast,sample_single_cell,Grcc10,H,Morphotypeneural_bias,0.19337900686503973,NA,NA,NA,NA,0.2726587428969216,0.2726587428969216,0.2309729676402013,0.8592201775833226,0.86168691922802,0.8602528615246503
GSE250136,mast,sample_single_cell,Gsk3b,H,Morphotypeneural_bias,0.2704778619991504,NA,NA,NA,NA,0.14820190238411124,0.14820190238411124,0.30076574758759694,0.8415905288894608,0.8366690493209435,0.8395301862796439
GSE250136,mast,sample_single_cell,Gspt1,H,Morphotypeneural_bias,0.17388453495013081,NA,NA,NA,NA,0.15760816592151494,0.15760816592151494,0.21254695509964516,0.9010423368935787,0.8886704789135097,0.8958629460611954
GSE250136,mast,sample_single_cell,Gtf2h5,H,Morphotypeneural_bias,0.15461382497893023,NA,NA,NA,NA,0.2178338608407726,0.2178338608407726,0.19619644358396196,0.8641101531334449,0.8632952108649035,0.8637689833171243
GSE250136,mast,sample_single_cell,Gtpbp4,H,Morphotypeneural_bias,0.10169772278094226,NA,NA,NA,NA,0.3035284951622246,0.3035284951622246,0.1454368207514444,0.9500707759619097,0.959614010007148,0.9540659833919354
GSE250136,mast,sample_single_cell,H1fx,H,Morphotypeneural_bias,0.14830503756299873,NA,NA,NA,NA,0.26169244589752516,0.26169244589752516,0.1898838112125951,0.9064470467121348,0.9001072194424589,0.9037929228697539
GSE250136,mast,sample_single_cell,H2afv,H,Morphotypeneural_bias,0.3762665133943819,NA,NA,NA,NA,0.5722658289989848,0.5722658289989848,0.4026711810010052,0.820743791017887,0.8148677626876341,0.8182838333208649
GSE250136,mast,sample_single_cell,H2afx,H,Morphotypeneural_bias,0.5912880835498813,NA,NA,NA,NA,0.10295973691106797,0.10295973691106797,0.6076534577034881,0.8840561060352593,0.8967119370979271,0.8893543801900202
GSE250136,mast,sample_single_cell,H2afy,H,Morphotypeneural_bias,0.018198778983281375,NA,NA,NA,NA,0.8801626281394466,0.8801626281394466,0.067828541548252,0.8965384120447819,0.8984989278055754,0.8973591681005462
GSE250136,mast,sample_single_cell,H2afy2,H,Morphotypeneural_bias,0.6920377336763178,NA,NA,NA,NA,0.08542627854003326,0.08542627854003326,0.7052508646295649,0.8404323767854845,0.8418513223731237,0.8410264083189946
GSE250136,mast,sample_single_cell,H2afz,H,Morphotypeneural_bias,0.04147453905156661,NA,NA,NA,NA,3.6638456101333077,3.6638456101333077,0.08823407148393672,0.9267790503152747,0.9261972837741244,0.9265354978678836
GSE250136,mast,sample_single_cell,H3f3a,H,Morphotypeneural_bias,0.04163738970494907,NA,NA,NA,NA,1.8721385608198098,1.8721385608198098,0.08823407148393672,0.8599922789859735,0.8602573266619014,0.8601032393207152
GSE250136,mast,sample_single_cell,H3f3b,H,Morphotypeneural_bias,0.41089447060615014,NA,NA,NA,NA,1.4662873850033158,1.4662873850033158,0.43375015809351325,0.8193282717796937,0.8225518227305219,0.8206777885838258
GSE250136,mast,sample_single_cell,Hat1,H,Morphotypeneural_bias,7.697865216605292e-4,NA,NA,NA,NA,0.4264931902436917,0.4264931902436917,0.017299939197318207,0.8677132930124823,0.8654395997140815,0.8667614273958255
GSE250136,mast,sample_single_cell,Hdgf,H,Morphotypeneural_bias,0.004245939850465185,NA,NA,NA,NA,0.9579644717118052,0.9579644717118052,0.042645715058633835,0.9966542272551795,0.9966047176554682,0.996633500411461
GSE250136,mast,sample_single_cell,Higd1a,H,Morphotypeneural_bias,0.0014325602572923862,NA,NA,NA,NA,0.67312537296364106,0.67312537296364106,0.024967478769953016,0.9779951100244498,0.975518227305218,0.9769581805940002
GSE250136,mast,sample_single_cell,Hint1,H,Morphotypeneural_bias,0.029860327056276777,NA,NA,NA,NA,1.0124348804613401,1.0124348804613401,0.07755058633182339,0.808390168575473,0.8084345961401,0.8084087678611506
GSE250136,mast,sample_single_cell,Hmga2,H,Morphotypeneural_bias,0.07976274401088605,NA,NA,NA,NA,-0.8331046212922786,-0.8331046212922786,0.12430179449871658,0.8199716896152361,0.8095067905646891,0.8155906336500337
GSE250136,mast,sample_single_cell,Hmgb1,H,Morphotypeneural_bias,0.013329707243606418,NA,NA,NA,NA,1.6677276050031544,1.6677276050031544,0.060447642220678596,0.8094196371123408,0.8046819156540386,0.8074362235355727
GSE250136,mast,sample_single_cell,Hmgb2,H,Morphotypeneural_bias,0.0067436735836134375,NA,NA,NA,NA,4.084217853634009,4.084217853634009,0.04880590881699895,0.9602367777634796,0.9599714081486777,0.9601256826513055
GSE250136,mast,sample_single_cell,Hmgb3,H,Morphotypeneural_bias,0.08217201675617532,NA,NA,NA,NA,0.46983530491413994,0.46983530491413994,0.12644126542301573,0.9998713164328915,0.9996426018584703,0.9997755666940974
GSE250136,mast,sample_single_cell,Hmgcs1,H,Morphotypeneural_bias,0.23833653798454715,NA,NA,NA,NA,0.269533082725423,0.269533082725423,0.2721116539893587,0.8260198172693347,0.8243388134381702,0.8253160769058128
GSE250136,mast,sample_single_cell,Hmgn1,H,Morphotypeneural_bias,0.08464621454467984,NA,NA,NA,NA,1.8948520888806897,1.8948520888806897,0.12836102288674364,0.8997555012224939,0.9035025017869907,0.9013241565048253
GSE250136,mast,sample_single_cell,Hmgn2,H,Morphotypeneural_bias,0.01735404874158455,NA,NA,NA,NA,0.6799147783968325,0.6799147783968325,0.067828541548252,0.9978123793591558,0.997855611150822,0.9978304780429416
GSE250136,mast,sample_single_cell,Hnrnpa0,H,Morphotypeneural_bias,0.0339271723161024,NA,NA,NA,NA,1.010275728726839,1.010275728726839,0.08128120420143532,0.9572770557199846,0.9578270192994996,0.9575072940824418
GSE250136,mast,sample_single_cell,Hnrnpa1,H,Morphotypeneural_bias,0.0071579793089688,NA,NA,NA,NA,3.01214804331239,3.01214804331239,0.050519953139333516,0.9996139492986745,0.9996426018584703,0.9996259444901623
GSE250136,mast,sample_single_cell,Hnrnpa2b1,H,Morphotypeneural_bias,0.01961834489722592,NA,NA,NA,NA,2.014872150389614,2.014872150389614,0.06842930510367344,0.9700167288637241,0.9681915654038599,0.9692526370913443
GSE250136,mast,sample_single_cell,Hnrnpa3,H,Morphotypeneural_bias,0.25894687207473505,NA,NA,NA,NA,0.4774601082740215,0.4774601082740215,0.29059215341895367,0.9855874404838502,0.9801644031451037,0.9833171242612404
GSE250136,mast,sample_single_cell,Hnrnpab,H,Morphotypeneural_bias,0.03922575511048987,NA,NA,NA,NA,1.2368585540275898,1.2368585540275898,0.08678444265377809,0.9095354523227384,0.909578270192995,0.9095533777212539
GSE250136,mast,sample_single_cell,Hnrnpc,H,Morphotypeneural_bias,0.016277239020436804,NA,NA,NA,NA,0.986486704718093,0.986486704718093,0.06526179400682174,0.8616651653583838,0.8557898498927805,0.8592055060971048
GSE250136,mast,sample_single_cell,Hnrnpd,H,Morphotypeneural_bias,0.030530354166147675,NA,NA,NA,NA,1.0253329125641528,1.0253329125641528,0.07755058633182339,0.8025994080555913,0.7987848463187991,0.8010024687663649
GSE250136,mast,sample_single_cell,Hnrnpdl,H,Morphotypeneural_bias,0.019061885212623517,NA,NA,NA,NA,0.8419997093777427,0.8419997093777427,0.067828541548252,0.8545875691674173,0.843638313080772,0.8500037405550984
GSE250136,mast,sample_single_cell,Hnrnpf,H,Morphotypeneural_bias,0.02021327535877498,NA,NA,NA,NA,0.8915696003936642,0.8915696003936642,0.06842930510367344,1,1,1
GSE250136,mast,sample_single_cell,Hnrnph1,H,Morphotypeneural_bias,0.04566435094186857,NA,NA,NA,NA,0.36673591878453404,0.36673591878453404,0.09219233027034458,0.9885471625273453,0.9883845604002859,0.9884790902970001
GSE250136,mast,sample_single_cell,Hnrnpk,H,Morphotypeneural_bias,0.02122770131470845,NA,NA,NA,NA,1.1722496047779032,1.1722496047779032,0.0689294940028936,0.8578046583451293,0.863831308077198,0.8603276726266178
GSE250136,mast,sample_single_cell,Hnrnpl,H,Morphotypeneural_bias,0.04938474111272877,NA,NA,NA,NA,0.31700775226107725,0.31700775226107725,0.09628897011477253,0.9361729507141938,0.9269120800571837,0.9322959527193836
GSE250136,mast,sample_single_cell,Hnrnpm,H,Morphotypeneural_bias,0.07595847578267552,NA,NA,NA,NA,0.4508944921427922,0.4508944921427922,0.12057349129815036,0.9599794106292626,0.9544317369549679,0.957656916286377
GSE250136,mast,sample_single_cell,Hnrnpr,H,Morphotypeneural_bias,0.009456078170084956,NA,NA,NA,NA,0.4893619251775432,0.4893619251775432,0.05508530233472825,0.9861021747522841,0.9837383845604003,0.9851125907084611
GSE250136,mast,sample_single_cell,Hnrnpu,H,Morphotypeneural_bias,0.07562283260873652,NA,NA,NA,NA,0.920117131890585,0.920117131890585,0.12057349129815036,0.9523870801698623,0.9458541815582558,0.949652128375851
GSE250136,mast,sample_single_cell,Hoxaas3,H,Morphotypeneural_bias,0.5143656158062149,NA,NA,NA,NA,-0.287369102235564,-0.287369102235564,0.5350404822149908,0.8408184274868099,0.8416726233023588,0.8411760305229296
GSE250136,mast,sample_single_cell,Hoxb5os,H,Morphotypeneural_bias,0.004139285971078344,NA,NA,NA,NA,0.6486267364815044,0.6486267364815044,0.042589761678324164,0.954960751512032,0.9512151536812009,0.9533926834742276
GSE250136,mast,sample_single_cell,Hoxb9,H,Morphotypeneural_bias,0.0025934224550670892,NA,NA,NA,NA,0.9143253108743199,0.9143253108743199,0.03630791437093925,0.9998713164328915,1,0.9999251888980325
GSE250136,mast,sample_single_cell,Hpf1,H,Morphotypeneural_bias,3.4256547523372905e-5,NA,NA,NA,NA,0.4461328134314737,0.4461328134314737,0.00487584859749341,0.9619096641358899,0.9764117226590422,0.9679808483578963
GSE250136,mast,sample_single_cell,Hsbp1,H,Morphotypeneural_bias,0.04259138094060733,NA,NA,NA,NA,0.09748880956260964,0.09748880956260964,0.08897361373886431,0.9643546519109509,0.9631879914224446,0.963866237749682
GSE250136,mast,sample_single_cell,Hsp90aa1,H,Morphotypeneural_bias,0.16850347213150071,NA,NA,NA,NA,3.6874290272204675,3.6874290272204675,0.20765074343477866,0.9023291725646635,0.9031451036454611,0.9026707563402409
GSE250136,mast,sample_single_cell,Hsp90ab1,H,Morphotypeneural_bias,NA,NA,NA,NA,NA,NA,NA,NA,0.8400463260841591,0.8445318084345962,0.841924141542605
GSE250136,mast,sample_single_cell,Hsp90b1,H,Morphotypeneural_bias,0.21190591320512994,NA,NA,NA,NA,0.2416542225349838,0.2416542225349838,0.24957763470825417,0.8650109381032042,0.8538241601143675,0.8603276726266178
GSE250136,mast,sample_single_cell,Hspa4,H,Morphotypeneural_bias,0.01877990203511373,NA,NA,NA,NA,0.3017808265597255,0.3017808265597255,0.067828541548252,0.8832840046326084,0.8895639742673338,0.8859130694995138
GSE250136,mast,sample_single_cell,Hspa5,H,Morphotypeneural_bias,0.9451759526616571,NA,NA,NA,NA,0.04538735019171991,0.04538735019171991,0.9496238394977119,0.8086475357096898,0.802180128663331,0.805940001496222
GSE250136,mast,sample_single_cell,Hspa8,H,Morphotypeneural_bias,0.15962758089297177,NA,NA,NA,NA,2.3167728642751193,2.3167728642751193,0.20047346188617338,1,1,1
GSE250136,mast,sample_single_cell,Hspd1,H,Morphotypeneural_bias,0.0250931030827191,NA,NA,NA,NA,0.9444241827120052,0.9444241827120052,0.07191110749208764,1,1,1
GSE250136,mast,sample_single_cell,Hspe1,H,Morphotypeneural_bias,0.06865014435642375,NA,NA,NA,NA,1.267254163074032,1.267254163074032,0.11495533976546252,0.9728477673401107,0.97337383845604,0.9730680032916885
GSE250136,mast,sample_single_cell,Huwe1,H,Morphotypeneural_bias,0.031785423316606054,NA,NA,NA,NA,0.2224958289188459,0.2224958289188459,0.07928803746164093,0.8246042980311414,0.8345246604717655,0.8287573875963193
GSE250136,mast,sample_single_cell,Ier3ip1,H,Morphotypeneural_bias,0.022553943510967737,NA,NA,NA,NA,0.2036151508072539,0.2036151508072539,0.06992592906751757,0.830137691416806,0.7605432451751251,0.8010024687663649
GSE250136,mast,sample_single_cell,Ifitm1,H,Morphotypeneural_bias,0.8067260430994974,NA,NA,NA,NA,0.22532451060014935,0.22532451060014935,0.8162844085390648,1,1,1
GSE250136,mast,sample_single_cell,Ifitm2,H,Morphotypeneural_bias,0.17898189898332748,NA,NA,NA,NA,0.6492616056625682,0.6492616056625682,0.21711724677807057,0.9298674559258783,0.9292351679771265,0.9296027530485524
GSE250136,mast,sample_single_cell,Igf2bp1,H,Morphotypeneural_bias,0.002303225909399964,NA,NA,NA,NA,0.5076780294484897,0.5076780294484897,0.034507981168904724,0.831167159953674,0.8343459614010007,0.8324979426946959
GSE250136,mast,sample_single_cell,Igf2bp3,H,Morphotypeneural_bias,0.02590782104916833,NA,NA,NA,NA,0.3330250915277979,0.3330250915277979,0.07286572803654347,0.9200875048256337,0.9317369549678342,0.9249644647265655
GSE250136,mast,sample_single_cell,Ilf2,H,Morphotypeneural_bias,0.17948160047202594,NA,NA,NA,NA,0.146159221258074,0.146159221258074,0.21741459121008533,0.9651267533136019,0.956397426733381,0.961472282486721
GSE250136,mast,sample_single_cell,Immt,H,Morphotypeneural_bias,0.15623283584413641,NA,NA,NA,NA,0.14502257380121364,0.14502257380121364,0.19766346934947038,0.8409471110539184,0.8459614010007148,0.8430463080721179
GSE250136,mast,sample_single_cell,Impdh2,H,Morphotypeneural_bias,3.168780175576184e-4,NA,NA,NA,NA,0.5819232747243275,0.5819232747243275,0.010995155349702405,0.8278213872088535,0.8295210864903503,0.8285329542904167
GSE250136,mast,sample_single_cell,Ipo5,H,Morphotypeneural_bias,0.009983535897288445,NA,NA,NA,NA,0.21551486736325343,0.21551486736325343,0.056091708265028496,0.9980697464933728,0.9962473195139385,0.9973068003291689
GSE250136,mast,sample_single_cell,Jpt1,H,Morphotypeneural_bias,0.030205902241621358,NA,NA,NA,NA,0.3998357740574603,0.3998357740574603,0.07755058633182339,1,1,1
GSE250136,mast,sample_single_cell,Kdm1a,H,Morphotypeneural_bias,0.0336837029206386,NA,NA,NA,NA,0.22094060822931016,0.22094060822931016,0.08125955450346149,0.8525286320936817,0.8565046461758399,0.8541931622652802
GSE250136,mast,sample_single_cell,Kdm5b,H,Morphotypeneural_bias,0.998515532925494,NA,NA,NA,NA,-5.65491382252592e-4,-5.65491382252592e-4,0.998515532925494,0.8067172822030627,0.8207648320228735,0.8125981895713323
GSE250136,mast,sample_single_cell,Khdrbs1,H,Morphotypeneural_bias,0.23588357122223666,NA,NA,NA,NA,0.25496910357692304,0.25496910357692304,0.27003293542063017,0.9136533264702098,0.9104717655468192,0.9123213884940525
GSE250136,mast,sample_single_cell,Kif5b,H,Morphotypeneural_bias,0.38355581848281184,NA,NA,NA,NA,0.0550582190519493,0.0550582190519493,0.4094458362304016,1,1,1
GSE250136,mast,sample_single_cell,Kmt5a,H,Morphotypeneural_bias,7.05242820016964e-4,NA,NA,NA,NA,0.25516473783168525,0.25516473783168525,0.016698651983670248,0.9109509715609316,0.9079699785561115,0.9097029999251889
GSE250136,mast,sample_single_cell,Knop1,H,Morphotypeneural_bias,0.3229848841934957,NA,NA,NA,NA,0.1398020074253461,0.1398020074253461,0.3509275968209228,0.9830137691416806,0.9810578984989278,0.9821949577317274
GSE250136,mast,sample_single_cell,Kpnb1,H,Morphotypeneural_bias,0.010814824393652332,NA,NA,NA,NA,0.3076495390760554,0.3076495390760554,0.056601416340753496,0.8482820743791017,0.8489992852037169,0.8485823296177153
GSE250136,mast,sample_single_cell,Krtcap2,H,Morphotypeneural_bias,0.02897009102650993,NA,NA,NA,NA,0.25066863762180835,0.25066863762180835,0.07683371967900458,0.9927937202419251,0.9933881343817013,0.9930425675170196
GSE250136,mast,sample_single_cell,Ktn1,H,Morphotypeneural_bias,0.5903982998624795,NA,NA,NA,NA,0.027617090910970088,0.027617090910970088,0.6074700579307921,0.8121219920216188,0.8152251608291637,0.8134211116929753
GSE250136,mast,sample_single_cell,Lamtor2,H,Morphotypeneural_bias,0.12938743222166926,NA,NA,NA,NA,0.1350599568229749,0.1350599568229749,0.1715789862069962,0.9229185433020203,0.9235167977126519,0.9231689982793446
GSE250136,mast,sample_single_cell,Lars,H,Morphotypeneural_bias,0.8109950253676732,NA,NA,NA,NA,0.016252256820755484,0.016252256820755484,0.8196328422059088,0.9634538669411916,0.9612223016440314,0.9625196379142664
GSE250136,mast,sample_single_cell,Ldha,H,Morphotypeneural_bias,0.23507517126750013,NA,NA,NA,NA,1.2509824810655914,1.2509824810655914,0.27003293542063017,0.8319392613563248,0.8422087205146533,0.8362384977930725
