study,technique,analysis_level,gene,neural__log2FoldChange,neuromesodermal.progenitors__log2FoldChange,pluripotent__log2FoldChange,somitic__log2FoldChange,unknown__log2FoldChange,neural__pvalue,neuromesodermal.progenitors__pvalue,pluripotent__pvalue,somitic__pvalue,unknown__pvalue,neural__padj_celltype_BH,neuromesodermal.progenitors__padj_celltype_BH,pluripotent__padj_celltype_BH,somitic__padj_celltype_BH,unknown__padj_celltype_BH
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm26555,0.34212899332798175,2.114428516796518,0,1.001926028359262,0,0.9515805879410997,0.7073080094910029,1,0.8589196540766803,1,1,0.9922628470126523,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Kif27,-0.006914784790190732,0.19927754150048319,0.6804382079234831,1.0967016054896548,-0.28590799015800905,0.9850880315030449,0.7558855982160115,0.42176384062354716,0.1157311800805494,0.7390107748391055,1,0.9935390657625321,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,2210016F16Rik,0.07587267236780232,0.14857178803780668,-0.017076871413333836,0.18783745585751627,-0.49785382108360954,0.40917926480638694,0.32177196851179823,0.9154315647151684,0.1780272895589815,0.5442562640723069,1,0.9543858481517375,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Hnrnpk,0.018609637056685193,0.0300005405904377,0.021208418027367507,-0.021635759485742194,-0.13551729196535153,0.3084821526941886,0.24693217239925572,0.6088718986731393,0.38053549601896386,0.10628116458024633,1,0.9351250269522533,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Rmi1,-0.10871605215219077,-0.14180123348016846,-0.29934888540152554,-0.1571696736254145,-0.20651175348114234,0.25554743591188916,0.3684349421578193,0.2017199665253314,0.3064300758855835,0.7492782130220128,1,0.9619487229519219,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Slc28a3,0.9193806667278596,2.1430421271245987,0.4061798491676469,0.6346689923899854,0,0.7756443096567206,0.5065271579169094,0.9001078579914599,0.8444094617051853,1,1,0.9922628470126523,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Ntrk2,0.07629702224624302,0.8268539049755139,0.2595696239587213,1.6728366398644805,-0.5285521198167527,0.8667866564497604,0.1505666687848287,0.73113036324694,0.03183987057254022,0.5713170083092635,1,0.916875980817681,1,0.806145090377986,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm34672,0.2861611994900028,2.451548123046455,-0.11478493237789404,0.7314499820822047,0,0.96490801784151,0.7059834634659372,0.9859198669675096,0.9104556116964581,1,1,0.9922628470126523,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm34788,-0.02700820599822622,1.8535917320403095,0.4134503915001838,0.2747835288170859,0,0.9853513529119634,0.2343928037751372,0.7944182608911473,0.860412830122233,1,1,0.9351250269522533,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Agtpbp1,-0.026752714185260536,0.12741739129197152,0.051184592025060004,0.5194478913053426,0.3310481203282314,0.8089050365224312,0.5230749027700026,0.8791746848831744,0.0038902541686134766,0.6701580251397352,1,0.9922628470126523,1,0.2703137214736576,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Naa35,-0.022208889135274742,-0.025411227414817734,-0.1222093878015973,-0.03209476706296043,-0.09151228194149759,0.6061323774714336,0.716385815435052,0.20045834618400282,0.6469008629000572,0.7470041321058717,1,0.9922628470126523,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Golm1,0.02945048897188169,0.09980622521882755,0.03210122871250943,0.008018916624133598,-0.34675325913333815,0.5662992584836386,0.16316457961730021,0.8487926359529611,0.921732033188627,0.2033018206388767,1,0.9214211101314769,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Spata31d1a,-0.062351060713112784,2.0118706395203563,-0.9339317095644819,1.025603505700229,0,0.9640865422538906,0.16127314119309913,0.5140413875120083,0.47859561877817275,1,1,0.9214211101314769,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,4930528D03Rik,-1.4405929065905902,2.0925315485489246,0.40454711009025796,1.4736521541922436,0,0.8245734096550239,0.7475769685589624,0.9504084492135684,0.8207587870918385,1,1,0.9922628470126523,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,1700014D04Rik,-0.17521167689489897,1.801544888636803,0,1.5256968634253554,0,0.9765792091700638,0.7628098179998049,1,0.7983645401921752,1,1,0.9935390657625321,1,1,1
