study,technique,analysis_level,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,n_selected_genes,padj_BH
GSE250136,pseudobulk_deseq2,sample_barcode,Dtx4,186.50356001411882,0.17602337713302357,0.09282372375498489,3.597224933880142,0.057876106646821954,0.43450580945715456,12491,0.43450580945715456
GSE250136,pseudobulk_deseq2,sample_barcode,Fam111a,159.2918582589708,0.1209688152828522,0.06462458077584023,3.5358220091255532,0.06005655845829301,0.44044158805132216,12491,0.44044158805132216
GSE250136,pseudobulk_deseq2,sample_barcode,Cntf,7.7162351632715644,-0.052443927025581386,0.24077023345394172,0.2007002748123199,0.6541561971530353,0.8687397193882632,12491,0.8687397193882632
GSE250136,pseudobulk_deseq2,sample_barcode,Zfp91,1506.0393236009097,-0.00670888767982434,0.026497921060455364,0.07257232985995188,0.7876276416115098,0.8850197500851308,12491,0.8850197500851308
GSE250136,pseudobulk_deseq2,sample_barcode,Tle4,853.0172267819529,-0.053912131134823946,0.02843212987638016,3.6358818224431957,0.056546641418165,0.42960313340199563,12491,0.42960313340199563
GSE250136,pseudobulk_deseq2,sample_barcode,Psat1,1956.79933392279,0.0067656012042794055,0.03961026885858005,0.029834850143743097,0.8628654882533251,0.9081646539381504,12491,0.9081646539381504
GSE250136,pseudobulk_deseq2,sample_barcode,Cep78,275.98009156654405,-0.010441273278256426,0.047127757692366046,0.1673296992209714,0.6824959746462381,0.8706756737934088,12491,0.8706756737934088
GSE250136,pseudobulk_deseq2,sample_barcode,Gnaq,389.2255173233271,0.026059151958492715,0.03832699249209907,0.4732541513026547,0.49149390376635876,0.8351160723412745,12491,0.8351160723412745
GSE250136,pseudobulk_deseq2,sample_barcode,Vps13a,102.85352856249811,0.04989439096977379,0.07004833778164243,0.5409116299285301,0.4620551628572542,0.8269272182632653,12491,0.8269272182632653
GSE250136,pseudobulk_deseq2,sample_barcode,Prune2,28.74511335872453,-0.16439396417270538,0.1398346372567341,1.4157043733822263,0.23411173814911834,0.7043938232145293,12491,0.7043938232145293
GSE250136,pseudobulk_deseq2,sample_barcode,Gcnt1,18.70728381887476,-0.06986627824297605,0.19949274009635515,0.13185952818795954,0.7165117543309745,0.8735218947382988,12491,0.8735218947382988
GSE250136,pseudobulk_deseq2,sample_barcode,Rfk,294.5619445273255,-0.010411026336603206,0.04442142904359704,0.1532611225321716,0.6954381913674137,0.8706756737934088,12491,0.8706756737934088
GSE250136,pseudobulk_deseq2,sample_barcode,Pcsk5,85.174053208044,-0.3222491519104354,0.14325446137571124,5.070825722274634,0.024331790642799916,0.2985305158433899,12491,0.2985305158433899
GSE250136,pseudobulk_deseq2,sample_barcode,Ostf1,69.7149476521008,0.02022151783434717,0.22144081934174314,0.01687923778848699,0.8966296251134497,0.9235447812689253,12491,0.9235447812689253
GSE250136,pseudobulk_deseq2,sample_barcode,Nmrk1,17.26995987039597,0.1354874722856099,0.1829184913470545,0.6796520571693918,0.4097065627197131,0.8094616539258467,12491,0.8094616539258467
GSE250136,pseudobulk_deseq2,sample_barcode,Carnmt1,648.6998134847015,0.02045178979416831,0.03247152239126929,0.4093628221332608,0.5222930889340017,0.8476404211000106,12491,0.8476404211000106
GSE250136,pseudobulk_deseq2,sample_barcode,D030056L22Rik,281.97013161189716,0.06934524338139798,0.04313858334911388,2.693190092662718,0.10077786763851418,0.538833718666542,12491,0.538833718666542
GSE250136,pseudobulk_deseq2,sample_barcode,Rorb,19.18951041655325,0.29660190835999645,0.17757212175407672,2.865464340363161,0.0904995888108841,0.5162376317569108,12491,0.5162376317569108
GSE250136,pseudobulk_deseq2,sample_barcode,Aldh1a7,9.878458885392588,0.15021844334693843,0.2526573351394452,0.37307209665627283,0.5413344559173814,0.8524038520433804,12491,0.8524038520433804
