study,technique,analysis_level,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_BH
GSE250136,pseudobulk_deseq2,sample_barcode,Gm44238,0.19261540654679085,1.1560224789778117,1.994297139647909,0.579664111227631,0.5621411497729174,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Lockd,203.22644888943765,0.07809938684774287,0.0705601326178111,1.1068486403046907,0.2683593744376612,0.7669044738805536,0.9042755859622912
GSE250136,pseudobulk_deseq2,sample_barcode,Apold1,1.7571256141273248,-0.4784047825607865,0.6591616932752753,-0.72577758604822,0.4679751296287405,NA,0.9804266527942409
GSE250136,pseudobulk_deseq2,sample_barcode,Ddx47,354.1833026686326,0.018508710305447717,0.04532030960899144,0.4083977021590257,0.6829817201382686,0.9394562059489336,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Gprc5a,18.995729107223752,0.2583285192665351,0.1606405705210648,1.6081150510646405,0.10780998341065115,0.5866395928071695,0.7312946064571626
GSE250136,pseudobulk_deseq2,sample_barcode,Hebp1,54.39878833418368,0.11901730243989903,0.1021234054216915,1.1654262991764588,0.24384647697385836,0.7480958706498042,0.8877899904353064
GSE250136,pseudobulk_deseq2,sample_barcode,Fam234b,11.652809111323421,0.19972632900239334,0.20343255505404487,0.9817815489233427,0.32620747999468763,0.8057538263544721,0.931469190626181
GSE250136,pseudobulk_deseq2,sample_barcode,Emp1,0.3905225071020797,-0.5638859858200009,1.6917389230591346,-0.33331738020210483,0.7388947212838515,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Grin2b,1.142820578425384,-0.10287029119254519,0.6809999549337415,-0.15105770631446525,0.8799301950512647,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Gm8994,0.38890636975700255,-0.29242791788799294,1.0801195392909477,-0.2707366242813822,0.7865936062939618,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Atf7ip,258.0675857452768,-0.08115340834987825,0.05671989844266776,-1.430774923405545,0.15249473221098148,0.6574171953453609,0.8058570835152312
