study,technique,analysis_level,gene,component,contrast,pvalue,ci.hi,ci.lo,coef,z,logFC,log2FoldChange,n_selected_genes,padj_BH,pct_TLS,pct_neural_bias,detection_freq
GSE250136,mast,sample_single_cell,Drosha,H,Morphotypeneural_bias,0.21244476708607596,NA,NA,NA,NA,0.006549762934972558,0.006549762934972558,11573,0.4641278491495214,0.4637755758589628,0.46890636168691924,0.4659235430537892
GSE250136,mast,sample_single_cell,Dscc1,H,Morphotypeneural_bias,0.18512353821122823,NA,NA,NA,NA,0.018290313359004495,0.018290313359004495,11573,0.430429894350077,0.26869128812250676,0.2868120085775554,0.2762773995660956
GSE250136,mast,sample_single_cell,Dse,H,Morphotypeneural_bias,2.5183940880961595e-4,NA,NA,NA,NA,-0.028597906969308973,-0.028597906969308973,11573,0.0029084687013421913,0.16111182601981727,0.14546104360257325,0.15455973666492107
GSE250136,mast,sample_single_cell,Dsel,H,Morphotypeneural_bias,0.24084911995887576,NA,NA,NA,NA,0.00879232251530325,0.00879232251530325,11573,0.4983204033906866,0.08892034487195985,0.10310936383130807,0.09486047729483055
GSE250136,mast,sample_single_cell,Dsg2,H,Morphotypeneural_bias,0.38808992498301254,NA,NA,NA,NA,-0.0033551650697658704,-0.0033551650697658704,11573,0.640226956535461,0.019045167932055077,0.0184060042887777,0.018777586593850527
GSE250136,mast,sample_single_cell,Dsn1,H,Morphotypeneural_bias,0.07039473978728075,NA,NA,NA,NA,0.017225558673717833,0.017225558673717833,11573,0.24358773844026246,0.1621412945566851,0.18531093638313081,0.17184110121942095
GSE250136,mast,sample_single_cell,Dsp,H,Morphotypeneural_bias,0.3711726810426601,NA,NA,NA,NA,-0.007607378877527021,-0.007607378877527021,11573,0.627587706754188,0.12392227512546648,0.12258756254467476,0.12336350714446023
GSE250136,mast,sample_single_cell,Dst,H,Morphotypeneural_bias,9.777000576653706e-14,NA,NA,NA,NA,-0.230809141084801,-0.230809141084801,11573,6.082766165217027e-12,0.5783039505855102,0.5337741243745533,0.5596618538191067
GSE250136,mast,sample_single_cell,Dstn,H,Morphotypeneural_bias,0.7691610033448024,NA,NA,NA,NA,0.011903091236884933,0.011903091236884933,11573,0.8877649242675097,0.909149401621413,0.9056468906361687,0.9076831001720655
GSE250136,mast,sample_single_cell,Dstyk,H,Morphotypeneural_bias,0.7941863263725875,NA,NA,NA,NA,-0.002795867730277027,-0.002795867730277027,11573,0.900957742679501,0.11452837472654742,0.11865618298784847,0.11625645245754469
GSE250136,mast,sample_single_cell,Dtd1,H,Morphotypeneural_bias,0.7701255522792417,NA,NA,NA,NA,-0.004654422693809335,-0.004654422693809335,11573,0.8881427743530148,0.3497619354008493,0.35525375268048603,0.3520610458592055
GSE250136,mast,sample_single_cell,Dtd2,H,Morphotypeneural_bias,0.6757896584512477,NA,NA,NA,NA,0.008831623860010074,0.008831623860010074,11573,0.8342415324653376,0.2677905031527474,0.28323802716225877,0.27425749981297226
GSE250136,mast,sample_single_cell,Dtl,H,Morphotypeneural_bias,7.31599655067588e-5,NA,NA,NA,NA,0.1406216402813638,0.1406216402813638,11573,0.0010114780416298837,0.7376142066658088,0.7533952823445318,0.7442208423730081
GSE250136,mast,sample_single_cell,Dtna,H,Morphotypeneural_bias,2.1892494955964105e-6,NA,NA,NA,NA,0.031269903134571925,0.031269903134571925,11573,4.532020601617471e-5,0.11504310899498134,0.1518942101501072,0.1304705618313758
GSE250136,mast,sample_single_cell,Dtnb,H,Morphotypeneural_bias,0.5808227209399602,NA,NA,NA,NA,-0.009983794561872261,-0.009983794561872261,11573,0.778676259423807,0.25633766568009264,0.2607219442458899,0.25817311288995287
GSE250136,mast,sample_single_cell,Dtnbp1,H,Morphotypeneural_bias,0.6459879742988626,NA,NA,NA,NA,0.007723964238767533,0.007723964238767533,11573,0.8166685358483085,0.43430703899112083,0.4437097927090779,0.43824343532580234
GSE250136,mast,sample_single_cell,Dtwd1,H,Morphotypeneural_bias,0.5325178866574181,NA,NA,NA,NA,0.0025443320058536056,0.0025443320058536056,11573,0.7456796931751745,0.1818298803242826,0.18888491779842745,0.18478342185980398
GSE250136,mast,sample_single_cell,Dtwd2,H,Morphotypeneural_bias,0.19766710700769272,NA,NA,NA,NA,-0.005888155668582612,-0.005888155668582612,11573,0.446196589132683,0.09471110539184147,0.09631879914224446,0.09538415500860328
GSE250136,mast,sample_single_cell,Dtx1,H,Morphotypeneural_bias,0.007295809198959761,NA,NA,NA,NA,-0.009398781619075348,-0.009398781619075348,11573,0.04708706305095502,0.034358512417964227,0.02805575411007863,0.03171990723423356
GSE250136,mast,sample_single_cell,Dtx2,H,Morphotypeneural_bias,0.10009905669416144,NA,NA,NA,NA,-0.013737119516270019,-0.013737119516270019,11573,0.3022994882236427,0.17295071419379746,0.17315939957112222,0.17303807885090147
GSE250136,mast,sample_single_cell,Dtx3,H,Morphotypeneural_bias,0.1785848946489826,NA,NA,NA,NA,0.022664114719479045,0.022664114719479045,11573,0.4215798451403563,0.3213228670698752,0.34578270192995,0.33156280392010173
GSE250136,mast,sample_single_cell,Dtx4,H,Morphotypeneural_bias,8.73383697541538e-5,NA,NA,NA,NA,0.04893068617423413,0.04893068617423413,11573,0.0011862436793369342,0.25698108351563503,0.2975339528234453,0.2739582554051021
GSE250136,mast,sample_single_cell,Dtymk,H,Morphotypeneural_bias,0.1817371410952512,NA,NA,NA,NA,0.06501568629675569,0.06501568629675569,11573,0.4258935189862792,0.9010423368935787,0.9006433166547534,0.9008752898930201
GSE250136,mast,sample_single_cell,Dus1l,H,Morphotypeneural_bias,0.5066874506106043,NA,NA,NA,NA,0.015412986327885847,0.015412986327885847,11573,0.7269262556987246,0.3763994337923047,0.3940314510364546,0.38378095309343907
GSE250136,mast,sample_single_cell,Dus2,H,Morphotypeneural_bias,0.49192194609633144,NA,NA,NA,NA,-0.004508871055564821,-0.004508871055564821,11573,0.7167616167497793,0.05649208596062283,0.05539671193709793,0.05603351537368145
